"HUC","Metric","2017_Q1","2017_Q2","2017_Q3","2017_Q4","2018_Q1","2018_Q2","2018_Q3","2018_Q4","2019_Q1","2019_Q2","2019_Q3","2019_Q4","2020_Q1","2020_Q2","2020_Q3","2020_Q4","2021_Q1","2021_Q2","2021_Q3","2021_Q4"
"Aniak","Total_Run_Proportion",0.0184696971676701,0.102015566422476,0.0781342864646981,0.0363189995148528,0.0149725123750107,0.064774064976787,0.126903754115916,0.030592976851553,0.0260127046650372,0.0431138561849365,0.101600924804262,0.0608330659280472,0.0274332879675565,0.0561428806113039,0.0715757878950066,0.049508083389044,0.0166205375442102,0.061722053083288,0.0898391817844304,0.0440450271098123
"Aniak","Within_Quartile_Proportion",0.167983623619672,0.218050150259356,0.25592343218839,0.298480858262039,0.1472427034053,0.190909845080197,0.262391894450084,0.381987829184395,0.159122698299174,0.186074768970945,0.258787687628138,0.279624639696406,0.183317271494399,0.204084848273005,0.192475740637595,0.236651694520975,0.0966075464881292,0.221552464644853,0.238933198895616,0.246706503240716
"Holitna River","Total_Run_Proportion",0.0153266905902002,0.0765187743847357,0.0557202811612432,0.0225453267775315,0.00642802881579689,0.0472130795934706,0.0966692034411056,0.0113436308089926,0.016899251479867,0.0323560695943023,0.0943733680306517,0.0528073115571476,0.011691855831153,0.0434700051463111,0.0690623338640832,0.0484398773054281,0.0119354849841945,0.0426899238081533,0.0916905020849174,0.037621167979917
"Holitna River","Within_Quartile_Proportion",0.139397684762586,0.163552787455555,0.18250791352309,0.185284522598255,0.0632145305142507,0.139152015767093,0.199877581263067,0.141638027865743,0.103374659780265,0.139645318403951,0.240378379757692,0.242733540423044,0.0781284078017776,0.158017709602977,0.185716766124172,0.231545603505518,0.0693754890539393,0.153236280433423,0.243856906712067,0.210724965091217
"Kuskokwim Delta","Total_Run_Proportion",0.0159112164718636,0.0629802042785122,0.0527671243434601,0.0277585577431988,0.0120621122748285,0.0456804585079528,0.103805920326279,0.0208004624379649,0.0200851045075346,0.027174106140409,0.0637607164900573,0.0345216945717168,0.0154652274148678,0.0387101986565114,0.0629696751948316,0.0230426769032902,0.00803076002007628,0.0389893371940036,0.0720320779375811,0.0356295134240446
"Kuskokwim Delta","Within_Quartile_Proportion",0.144714002339964,0.134615171859388,0.172835053338476,0.2281284795832,0.118621242423434,0.134634892222234,0.21463377722197,0.259717239393341,0.122862888193069,0.117280521147983,0.162404903437287,0.158682063102711,0.103343182781691,0.140715348649949,0.169332887939883,0.110145417923201,0.0466791173216168,0.139952955527003,0.191574037773652,0.199569241882836
"Middle Fork Kuskokwim River","Total_Run_Proportion",0.0160834657099147,0.0540074758691478,0.0234752666029083,0.00353363592438002,0.0223385151274636,0.0474208458396981,0.0274770306212698,0.00191278257384152,0.0306508077350656,0.0372336858967834,0.020667787301732,0.011476507415972,0.0263309653456677,0.0376207318047032,0.0383604192319649,0.0195247474250583,0.0460942166499012,0.032403156487773,0.0195960575847603,0.0129245119310729
"Middle Fork Kuskokwim River","Within_Quartile_Proportion",0.146280625274324,0.115436679336043,0.0768916063918776,0.0290405214235924,0.2196814585986,0.139764369212787,0.0568127410320143,0.0238832483229357,0.187494506805675,0.160696586068805,0.0526429153524896,0.0527527949184743,0.175951228620129,0.13675503035618,0.103155694404256,0.093329497870576,0.267924497988964,0.116311736624373,0.0521170009729642,0.0723932156213287
"North Fork Kuskokwim River","Total_Run_Proportion",0.00203112125829557,0.00349741902412507,0.00241343245395366,0.000844694291746113,0.0025793920977073,0.00400041534675181,0.00262593613032896,0.000118447890341323,0.00142621792955745,0.0031443525112563,0.00108195107915131,0.00079524355920405,0.00301755948185722,0.00234379560032335,0.00164610027186181,0.000733809003181131,0.00503061916742423,0.00317547829114959,0.000733715424122233,0.000566513174433423
"North Fork Kuskokwim River","Within_Quartile_Proportion",0.0184732378599402,0.00747545468279025,0.0079050304919561,0.00694196097186867,0.0253662615929827,0.0117905009416736,0.00542950333299497,0.00147895553683774,0.0087243386735894,0.0135706874510485,0.00275583729616396,0.00365540829351487,0.020164216970285,0.00851992566584875,0.00442655789490027,0.00350765233008377,0.0292406773119265,0.0113984387538286,0.00195136431435043,0.00317317285231348
"South Fork Kuskokwim River","Total_Run_Proportion",0.00204464727176933,0.00758875908011587,0.00433389593264411,0.00136295331390081,0.00182883631853115,0.00644864626914846,0.00527337763327858,0.000561606268348312,0.00352067074695315,0.00414635493420514,0.00523419209087572,0.00201944637910947,0.00335753700716964,0.0046223846614993,0.0062116317171228,0.00298488477158618,0.0036710889287175,0.00475946110356477,0.00389722712895952,0.00154465391900814
"South Fork Kuskokwim River","Within_Quartile_Proportion",0.0185962582178716,0.0162203682803524,0.0141953753213157,0.0112011751518055,0.0179851448361973,0.0190062189344041,0.0109034721390731,0.00701228783140895,0.0215363468079167,0.0178952222029103,0.0133320092352387,0.00928256627427931,0.0224360464492521,0.016802819200403,0.0167038107505709,0.0142679334522984,0.021338352830031,0.0170841747025683,0.0103649312721863,0.00865196804455301
"Stony River","Total_Run_Proportion",0.0351882493208797,0.133003745896872,0.0688870875975956,0.021575529127065,0.0397606467387602,0.101014219020598,0.0909179019329204,0.0103383675981082,0.0574153111693899,0.0720822721954869,0.0755397655277627,0.0436033151478701,0.0577946660746263,0.0822032542104037,0.0940003575656046,0.0482423688471251,0.0731256571926676,0.0765105756695166,0.0747130116423174,0.0391694387113955
"Stony River","Within_Quartile_Proportion",0.320040419509457,0.284284916458403,0.225634874126665,0.177314423231024,0.391014211130614,0.297721146743385,0.187985932282314,0.129086182599166,0.351216044413851,0.311099338647475,0.192407316001925,0.200426546020437,0.386200899588126,0.298816848733259,0.252778054908437,0.23060150088348,0.425045839096617,0.274636143229129,0.198704156875102,0.219397191748739
"Takotna River","Total_Run_Proportion",0.00489430352321197,0.0282417405431332,0.0195719960515541,0.0077397963452605,0.00171589401818512,0.0227396514090867,0.0299689272497594,0.00442060410102205,0.00746569570901813,0.0124510879236812,0.0303446898967525,0.0114960102126048,0.00455812783711933,0.00998252974729092,0.0280428329774975,0.0167258717777495,0.0075334495159458,0.018338894798741,0.023499477807362,0.007031261600618
"Takotna River","Within_Quartile_Proportion",0.0445141484161853,0.0603644716681117,0.0641067146182292,0.0636080587782157,0.0168744474986203,0.067021011098226,0.0619650982784827,0.0551962292661732,0.0456685170264601,0.0537375571068816,0.0772909512910658,0.0528424412711336,0.0304587462943402,0.0362874695183782,0.0754104873401858,0.0799506995138677,0.0437884799087762,0.0658278060848216,0.0624984031840617,0.039383741518296
