"year","quartile","mgmt_river","percent_of_total_run","total_production","edge_count"
"2017","Q1","Holitna and Hoholitna",0.991734353897776,875.525589758067,477
"2017","Q1","Stony",0.880709499975076,777.510329596479,299
"2017","Q1","Big River",0.766519559916973,676.700859579758,166
"2017","Q1","Johnson",0.638733253357987,563.888208718827,200
"2017","Q1","Kwethluk",0.564807856952437,498.625191428272,166
"2017","Q1","Takotna and Nixon Fork",0.462921124249189,408.67727202028,127
"2017","Q1","Swift",0.455693073156105,402.296184513125,277
"2017","Q1","Kisaralik",0.439024429095081,387.58072732982,237
"2017","Q1","Tuluksak",0.437227963122259,385.994766407772,189
"2017","Q1","Aniak",0.355726633914491,314.043543743912,165
"2017","Q1","N. Fork Kusko",0.299120036039568,264.069954754225,177
"2017","Q1","E. Fork Kuskokwim",0.265818904584092,234.670960313249,81
"2017","Q1","Oskakawlik",0.120998950158604,106.820618627716,25
"2017","Q1","Holokuk",0.0651822642975929,57.5443818867634,21
"2017","Q2","Holitna and Hoholitna",4.50042482821908,3973.07715155999,477
"2017","Q2","Stony",3.69700837000724,3263.80287298663,299
"2017","Q2","Big River",2.98486904427579,2635.11011801607,166
"2017","Q2","Johnson",2.66053424121294,2348.77999481864,200
"2017","Q2","Kwethluk",2.28337355405902,2015.81398254311,166
"2017","Q2","Tuluksak",2.21099977881657,1951.92077162114,189
"2017","Q2","Kisaralik",2.043637927477,1804.16993187137,237
"2017","Q2","Swift",1.99608806539383,1762.19183473311,277
"2017","Q2","Takotna and Nixon Fork",1.72448238771841,1522.41217983479,127
"2017","Q2","Aniak",1.52661184984786,1347.72757938309,165
"2017","Q2","N. Fork Kusko",1.09024425170469,962.492362700268,177
"2017","Q2","E. Fork Kuskokwim",0.939111702465121,829.069119082092,81
"2017","Q2","Oskakawlik",0.42102814848191,371.693202474629,25
"2017","Q2","Holokuk",0.25588642527481,225.902342214218,21
"2017","Q3","Holitna and Hoholitna",3.35885320211898,2965.27181814165,477
"2017","Q3","Stony",2.68127697019405,2367.0921466091,299
"2017","Q3","Johnson",1.86264574072484,1644.38592275141,200
"2017","Q3","Tuluksak",1.64384774509601,1451.22608775334,189
"2017","Q3","Big River",1.57928377239295,1394.22754771506,166
"2017","Q3","Kisaralik",1.49265121328436,1317.74635886879,237
"2017","Q3","Kwethluk",1.44426056443336,1275.02599609469,166
"2017","Q3","Swift",1.38238913386799,1220.4044933485,277
"2017","Q3","Aniak",1.11830512255211,987.265136176604,165
"2017","Q3","Takotna and Nixon Fork",0.951836312820053,840.302693820788,127
"2017","Q3","N. Fork Kusko",0.667667088546674,589.431654922919,177
"2017","Q3","E. Fork Kuskokwim",0.537017686710723,474.091398588762,81
"2017","Q3","Oskakawlik",0.261803015948609,231.125642706608,25
"2017","Q3","Holokuk",0.199626773451549,176.235045071034,21
"2017","Q4","Holitna and Hoholitna",1.61986044066025,1430.04955113313,477
"2017","Q4","Stony",1.16496322493102,1028.45596761421,299
"2017","Q4","Johnson",0.777893562659806,686.742087273637,200
"2017","Q4","Tuluksak",0.749264273756978,661.467501440759,189
"2017","Q4","Swift",0.696977274205585,615.307351861397,277
"2017","Q4","Kisaralik",0.682421951449739,602.457582676892,237
"2017","Q4","Kwethluk",0.511466948703505,451.53462733787,166
"2017","Q4","Aniak",0.493945260739107,436.066083641372,165
"2017","Q4","Big River",0.448117898393602,395.608648354481,166
"2017","Q4","Takotna and Nixon Fork",0.265947298856406,234.784309690073,127
"2017","Q4","N. Fork Kusko",0.184137200359506,162.560498491891,177
"2017","Q4","E. Fork Kuskokwim",0.144827292731961,127.856820108991,81
"2017","Q4","Oskakawlik",0.0862372187213666,76.132173382291,25
"2017","Q4","Holokuk",0.0743474759165995,65.6356386597595,21
"2018","Q1","Big River",0.816712246334713,681.263471740123,166
"2018","Q1","Holitna and Hoholitna",0.744114354727406,620.705678099377,477
"2018","Q1","Stony",0.645777615980959,538.677732101675,299
"2018","Q1","Kwethluk",0.524099120961805,437.179175755932,166
"2018","Q1","Johnson",0.522221355039097,435.612830525577,200
"2018","Q1","Takotna and Nixon Fork",0.460559491884084,384.177364539271,127
"2018","Q1","Swift",0.391788489337643,326.811784238377,277
"2018","Q1","Kisaralik",0.313533605147399,261.53518979116,237
"2018","Q1","N. Fork Kusko",0.310282406859542,258.823190990063,177
"2018","Q1","Tuluksak",0.287122984219227,239.504674900405,189
"2018","Q1","E. Fork Kuskokwim",0.261372505294344,218.024819847336,81
"2018","Q1","Aniak",0.242066145274743,201.920349867063,165
"2018","Q1","Oskakawlik",0.108561439368723,90.5569169721135,25
"2018","Q1","Holokuk",0.0393955059073792,32.8619036213403,21
"2018","Q2","Holitna and Hoholitna",2.8528867055615,2379.7457552945,477
"2018","Q2","Stony",2.51869731629304,2100.98046853224,299
"2018","Q2","Big River",2.36517838172038,1972.92209446697,166
"2018","Q2","Johnson",1.83187075401093,1528.06160952951,200
"2018","Q2","Kwethluk",1.75895091692858,1467.2352639073,166
"2018","Q2","Takotna and Nixon Fork",1.48741815574612,1240.73522989344,127
"2018","Q2","Tuluksak",1.31987355429472,1100.97729511489,189
"2018","Q2","Swift",1.30948577515232,1092.31229160358,277
"2018","Q2","Kisaralik",1.27955505784838,1067.34547559994,237
"2018","Q2","Aniak",1.01508606057281,846.737705776266,165
"2018","Q2","N. Fork Kusko",0.991787175900877,827.302856928944,177
"2018","Q2","E. Fork Kuskokwim",0.853798357469638,712.198985366257,81
"2018","Q2","Oskakawlik",0.310531526411315,259.03099496445,25
"2018","Q2","Holokuk",0.218881782932345,182.581030234785,21
"2018","Q3","Holitna and Hoholitna",5.7218842114453,4772.93039289955,477
"2018","Q3","Stony",4.4531146912622,3714.58171252022,299
"2018","Q3","Johnson",3.08431674765972,2572.79396125979,200
"2018","Q3","Tuluksak",2.69686800889386,2249.60219564398,189
"2018","Q3","Kisaralik",2.57757854004671,2150.09645411316,237
"2018","Q3","Swift",2.44529895231511,2039.75495797077,277
"2018","Q3","Kwethluk",2.29654499049418,1915.67130314616,166
"2018","Q3","Big River",2.09422661862738,1746.90670210907,166
"2018","Q3","Aniak",1.89609252306271,1581.63243027067,165
"2018","Q3","Takotna and Nixon Fork",1.3413148242899,1118.86260796649,127
"2018","Q3","N. Fork Kusko",0.920411399743302,767.764495307111,177
"2018","Q3","E. Fork Kuskokwim",0.741988827563216,618.932661934072,81
"2018","Q3","Oskakawlik",0.409001987210717,341.170485695874,25
"2018","Q3","Holokuk",0.34311422937182,286.209974387337,21
"2018","Q4","Holitna and Hoholitna",1.15495075420502,963.406345416936,477
"2018","Q4","Stony",0.797236014052995,665.017302198515,299
"2018","Q4","Johnson",0.551753428423183,460.247116262834,200
"2018","Q4","Swift",0.495708929240486,413.49739473424,277
"2018","Q4","Tuluksak",0.479214068609055,399.738147128893,189
"2018","Q4","Kisaralik",0.461800121190641,385.21223995876,237
"2018","Q4","Kwethluk",0.342751844432257,285.907689680403,166
"2018","Q4","Aniak",0.313626936467676,261.613042449253,165
"2018","Q4","Big River",0.204959665924959,170.967846020896,166
"2018","Q4","Takotna and Nixon Fork",0.136656475790005,113.992493133639,127
"2018","Q4","N. Fork Kusko",0.0890451150276388,74.2773044943006,177
"2018","Q4","E. Fork Kuskokwim",0.0757588905099248,63.1945522986797,81
"2018","Q4","Oskakawlik",0.0572856818483458,47.7850585345697,25
"2018","Q4","Holokuk",0.0537843981897229,44.8644501176821,21
"2019","Q1","Big River",1.23915365339785,1131.84411056183,166
"2019","Q1","Holitna and Hoholitna",1.21332881155339,1108.25567577193,477
"2019","Q1","Stony",1.16397644424376,1063.17717713012,299
"2019","Q1","Kwethluk",0.930347997352774,849.780734365995,166
"2019","Q1","Johnson",0.891427325583122,814.230556225619,200
"2019","Q1","Takotna and Nixon Fork",0.747557306425288,682.819545634884,127
"2019","Q1","Swift",0.588993759728664,537.987453193199,277
"2019","Q1","Kisaralik",0.541497381890621,494.604217077485,237
"2019","Q1","Tuluksak",0.49319917898071,450.488593188225,189
"2019","Q1","N. Fork Kusko",0.468482324395963,427.91219500173,177
"2019","Q1","E. Fork Kuskokwim",0.451391822628767,412.301714639827,81
"2019","Q1","Aniak",0.449793301081341,410.841623557419,165
"2019","Q1","Oskakawlik",0.178649556308428,163.178672481594,25
"2019","Q1","Holokuk",0.1082718717268,98.8956293010568,21
"2019","Q2","Holitna and Hoholitna",1.88110735321344,1718.20522275908,477
"2019","Q2","Stony",1.72218548687155,1573.04584081696,299
"2019","Q2","Big River",1.61823810668398,1478.10020614847,166
"2019","Q2","Johnson",1.26025265926232,1151.11596233012,200
"2019","Q2","Kwethluk",1.19379053308761,1090.40939387511,166
"2019","Q2","Takotna and Nixon Fork",0.988652057598702,903.035717741336,127
"2019","Q2","Tuluksak",0.915487432482951,836.207080460032,189
"2019","Q2","Kisaralik",0.870971191309068,795.545903971669,237
"2019","Q2","Swift",0.861158803236899,786.583259492853,277
"2019","Q2","Aniak",0.685251942611236,625.90976782325,165
"2019","Q2","N. Fork Kusko",0.648775889090136,592.592506286565,177
"2019","Q2","E. Fork Kuskokwim",0.562763385290772,514.028604551668,81
"2019","Q2","Oskakawlik",0.233451918168197,213.235201262971,25
"2019","Q2","Holokuk",0.140944992650687,128.739288632547,21
"2019","Q3","Holitna and Hoholitna",4.44139385223883,4056.77331504268,477
"2019","Q3","Stony",3.65046602812688,3334.33909782847,299
"2019","Q3","Johnson",2.4351099985115,2224.23175917519,200
"2019","Q3","Tuluksak",2.32446551509374,2123.16898412777,189
"2019","Q3","Kisaralik",2.03743585169199,1860.9958200597,237
"2019","Q3","Big River",1.9693536846742,1798.80950477743,166
"2019","Q3","Kwethluk",1.88081162386122,1717.93510329108,166
"2019","Q3","Swift",1.74966544139525,1598.1460570822,277
"2019","Q3","Aniak",1.47856501427617,1350.52267239207,165
"2019","Q3","Takotna and Nixon Fork",1.18243701947133,1080.0390838772,127
"2019","Q3","N. Fork Kusko",0.794293763701508,725.508669595874,177
"2019","Q3","E. Fork Kuskokwim",0.630816219101284,576.188126854864,81
"2019","Q3","Oskakawlik",0.345404242397309,315.492559335534,25
"2019","Q3","Holokuk",0.257108717833108,234.84334429031,21
"2019","Q4","Holitna and Hoholitna",2.62594482925224,2398.54047276507,477
"2019","Q4","Stony",2.09157471443422,1910.4463081241,299
"2019","Q4","Johnson",1.42136333519507,1298.27460500779,200
"2019","Q4","Tuluksak",1.39486443512143,1274.07048479843,189
"2019","Q4","Kisaralik",1.18562879883711,1082.95445814694,237
"2019","Q4","Swift",1.04161631963981,951.413324422395,277
"2019","Q4","Kwethluk",1.00453661595869,917.544688262735,166
"2019","Q4","Big River",0.963102826240082,879.699025827996,166
"2019","Q4","Aniak",0.855065042714746,781.017212909961,165
"2019","Q4","Takotna and Nixon Fork",0.581799208917974,531.415943727131,127
"2019","Q4","N. Fork Kusko",0.379991928769846,347.084984545571,177
"2019","Q4","E. Fork Kuskokwim",0.295665544480653,270.061185954507,81
"2019","Q4","Oskakawlik",0.190855628990417,174.327710730657,25
"2019","Q4","Holokuk",0.135555314807652,123.816351829885,21
"2020","Q1","Big River",1.26531836740529,1194.65197970134,166
"2020","Q1","Holitna and Hoholitna",1.08110326071212,1020.72504749915,477
"2020","Q1","Stony",0.943777921020386,891.069149701419,299
"2020","Q1","Kwethluk",0.807004941878787,761.934763834385,166
"2020","Q1","Johnson",0.758184384386778,715.840771080962,200
"2020","Q1","Takotna and Nixon Fork",0.643089391690789,607.173684267124,127
"2020","Q1","Swift",0.500093580789294,472.164003713145,277
"2020","Q1","Tuluksak",0.46593232969704,439.910614133317,189
"2020","Q1","N. Fork Kusko",0.435168618119481,410.86501589826,177
"2020","Q1","Kisaralik",0.411596347913297,388.609226372641,237
"2020","Q1","E. Fork Kuskokwim",0.358155450862884,338.152934025276,81
"2020","Q1","Aniak",0.321542675867591,303.584934968895,165
"2020","Q1","Oskakawlik",0.132337594093696,124.946711314361,25
"2020","Q1","Holokuk",0.0711423683692935,67.1691594798414,21
"2020","Q2","Holitna and Hoholitna",2.36205581068332,2230.13806097232,477
"2020","Q2","Stony",2.1664208681019,2045.42907588667,299
"2020","Q2","Big River",1.79771553983215,1697.31546140786,166
"2020","Q2","Johnson",1.61000473354897,1520.08805989832,200
"2020","Q2","Kwethluk",1.44696422470193,1366.15315174943,166
"2020","Q2","Kisaralik",1.06486295881965,1005.39174537806,237
"2020","Q2","Takotna and Nixon Fork",1.05663718838677,997.625373542049,127
"2020","Q2","Tuluksak",1.04054526913025,982.43216707938,189
"2020","Q2","Swift",1.00761909599049,951.344877952241,277
"2020","Q2","Aniak",0.789653961945023,745.552813598306,165
"2020","Q2","N. Fork Kusko",0.668305033927745,630.981065629645,177
"2020","Q2","E. Fork Kuskokwim",0.586544462404345,553.78671585328,81
"2020","Q2","Oskakawlik",0.291931822820741,275.627809612685,25
"2020","Q2","Holokuk",0.178007663197996,168.06616636537,21
"2020","Q3","Holitna and Hoholitna",3.721379444843,3513.54523535306,477
"2020","Q3","Stony",3.33551982493022,3149.23537414327,299
"2020","Q3","Johnson",2.33696730610774,2206.45071679788,200
"2020","Q3","Big River",2.22587056648322,2101.55858581351,166
"2020","Q3","Kwethluk",1.99265600634039,1881.36875600717,166
"2020","Q3","Tuluksak",1.81798943201,1716.45708303482,189
"2020","Q3","Kisaralik",1.68254954792777,1588.58134059921,237
"2020","Q3","Swift",1.59737315144157,1508.1619352485,277
"2020","Q3","Takotna and Nixon Fork",1.4356602079103,1355.48044961645,127
"2020","Q3","Aniak",1.3912299800034,1313.531592242,165
"2020","Q3","N. Fork Kusko",0.939939312002282,887.44492201224,177
"2020","Q3","E. Fork Kuskokwim",0.831616890902349,785.172167465537,81
"2020","Q3","Oskakawlik",0.379836806090633,358.623413718504,25
"2020","Q3","Holokuk",0.282500897612123,266.72358933017,21
"2020","Q4","Holitna and Hoholitna",2.14054425630671,2020.99763925743,477
"2020","Q4","Stony",1.81038131656521,1709.27387095788,299
"2020","Q4","Big River",1.24932837442324,1179.55500706308,166
"2020","Q4","Johnson",1.22376910011297,1155.42318503229,200
"2020","Q4","Tuluksak",1.21116839888862,1143.52621660833,189
"2020","Q4","Kisaralik",1.02059681029741,963.597803767705,237
"2020","Q4","Kwethluk",0.991284885213683,935.922911636058,166
"2020","Q4","Swift",0.880064878054797,830.914397449051,277
"2020","Q4","Aniak",0.751959844155149,709.963863338213,165
"2020","Q4","Takotna and Nixon Fork",0.748574147410805,706.767253360446,127
"2020","Q4","N. Fork Kusko",0.501082175164074,473.097386375861,177
"2020","Q4","E. Fork Kuskokwim",0.403152308307919,380.636775413971,81
"2020","Q4","Oskakawlik",0.180033879463942,169.979221084064,25
"2020","Q4","Holokuk",0.124606594689921,117.647478187974,21
"2021","Q1","Big River",1.6350550258667,1449.74201010169,166
"2021","Q1","Kwethluk",0.986087496070306,874.326824524656,166
"2021","Q1","Takotna and Nixon Fork",0.970782802049778,860.756725951643,127
"2021","Q1","Stony",0.925143532023164,820.290095764145,299
"2021","Q1","Holitna and Hoholitna",0.778944931004077,690.66127571687,477
"2021","Q1","Johnson",0.768956954234907,681.805311061791,200
"2021","Q1","N. Fork Kusko",0.711848320123549,631.169225608412,177
"2021","Q1","E. Fork Kuskokwim",0.563242585565522,499.406090470747,81
"2021","Q1","Swift",0.441699149012459,391.638080687894,277
"2021","Q1","Tuluksak",0.354510654565881,314.331310458727,189
"2021","Q1","Kisaralik",0.326774343872823,289.738563315159,237
"2021","Q1","Aniak",0.310341400499192,275.168088327171,165
"2021","Q1","Oskakawlik",0.176179476261459,156.211738451165,25
"2021","Q1","Holokuk",0.0897382858162198,79.5675746712717,21
"2021","Q2","Holitna and Hoholitna",2.75747189239774,2444.94697783311,477
"2021","Q2","Stony",2.27758883113053,2019.45265326962,299
"2021","Q2","Big River",1.77891798058517,1577.29990011348,166
"2021","Q2","Johnson",1.63173779645397,1446.80074711011,200
"2021","Q2","Kwethluk",1.39663145297916,1238.34076406082,166
"2021","Q2","Tuluksak",1.28202696270501,1136.72525787402,189
"2021","Q2","Swift",1.23786369627434,1097.5673447549,277
"2021","Q2","Kisaralik",1.22725859145511,1088.1641957876,237
"2021","Q2","Takotna and Nixon Fork",1.0485289173927,929.691292526919,127
"2021","Q2","Aniak",0.9202200556621,815.924633805093,165
"2021","Q2","N. Fork Kusko",0.70493716466246,625.041363088939,177
"2021","Q2","E. Fork Kuskokwim",0.609739244314993,540.63293510415,81
"2021","Q2","Oskakawlik",0.242961646933412,215.424986211797,25
"2021","Q2","Holokuk",0.173668905566829,153.985709511615,21
"2021","Q3","Holitna and Hoholitna",4.44992175472628,3945.57883828558,477
"2021","Q3","Stony",3.47481348227311,3080.98687984448,299
"2021","Q3","Johnson",2.32085033349062,2057.81100598518,200
"2021","Q3","Tuluksak",2.32066524014626,2057.64689065397,189
"2021","Q3","Kisaralik",2.20442243077448,1954.57874832697,237
"2021","Q3","Swift",1.90654185169212,1690.45920332254,277
"2021","Q3","Big River",1.72644628840807,1530.77521728212,166
"2021","Q3","Kwethluk",1.6643039619498,1475.6759454859,166
"2021","Q3","Aniak",1.62272297749917,1438.8076450154,165
"2021","Q3","Takotna and Nixon Fork",1.0909354869564,967.291608374521,127
"2021","Q3","N. Fork Kusko",0.673255461198663,596.950384047604,177
"2021","Q3","E. Fork Kuskokwim",0.554350049707185,491.521412214532,81
"2021","Q3","Oskakawlik",0.346192267900597,306.955708773065,25
"2021","Q3","Holokuk",0.218650442737702,193.869152627543,21
"2021","Q4","Holitna and Hoholitna",2.05014441793809,1817.78621663503,477
"2021","Q4","Stony",1.55614806388717,1379.77816432189,299
"2021","Q4","Johnson",1.11593781045872,989.460231545016,200
"2021","Q4","Tuluksak",0.965875181727842,856.405322948207,189
"2021","Q4","Kisaralik",0.94314426961437,836.250675124436,237
"2021","Q4","Swift",0.903359264034326,800.974801805771,277
"2021","Q4","Big River",0.851940243215773,755.383483214254,166
"2021","Q4","Kwethluk",0.807817852356831,716.26181293259,166
"2021","Q4","Aniak",0.681228857137055,604.020095385872,165
"2021","Q4","Takotna and Nixon Fork",0.493755633707669,437.794614606903,127
"2021","Q4","N. Fork Kusko",0.280321201933367,248.550303406201,177
"2021","Q4","E. Fork Kuskokwim",0.247423660815226,219.381286685962,81
"2021","Q4","Oskakawlik",0.161821008374045,143.480623126134,25
"2021","Q4","Holokuk",0.096959968238354,85.9707698086532,21
