"Year","Management_Unit","Total_Contribution_Percent","Percent_Of_Unit_In_Window"
2017,"Stony",11.5167962320018,3.96833513632979
2017,"Holitna and Hoholitna",10.0929285014393,4.34223401631142
2017,"Hoholitna",9.12357650218833,3.53114883293323
2017,"Aniak",8.89729542701039,5.07279090044531
2017,"Middle Kusko Main",7.02529054869037,5.73093812789163
2017,"Kwethluk",6.94984383528286,3.32495196667378
2017,"Upper Kusko Main",6.86836946217942,3.36801675606246
2017,"Big River",6.67383652085834,2.47910170908929
2017,"Kisaralik",6.4410023599145,6.96938193856678
2017,"Tuluksak",5.4040015879375,7.00889345782369
2017,"Takotna and Nixon Fork",5.28536547962815,2.71205897402698
2017,"Swift",4.90517398013708,3.06698764338901
2017,"George",2.93836932954687,3.33284602757462
2017,"Tatlawiksuk",2.87741944890559,3.30392169084669
2017,"S. Fork Kusko",1.50134006989666,3.42779310636967
2017,"Oskakawlik",1.41031224378363,6.23921321447031
2017,"Holokuk",1.13648938785461,7.57157769806026
2017,"N. Fork Kusko",0.377415811998744,5.84537070239508
2017,"E. Fork Kuskokwim",0.326567960879295,9.91991892575885
2017,"Lower Kusko",0.248605309866649,4.21145861746806
2017,"Johnson",0,0
2018,"Stony",11.2597464216406,8.7649881805765
2018,"Holitna and Hoholitna",9.34642053755096,4.76149132006655
2018,"Aniak",8.88743443770406,6.6864201171919
2018,"Hoholitna",8.47713044454231,6.11533013838276
2018,"Middle Kusko Main",7.86584402508103,7.52796243971449
2018,"Kisaralik",7.08467908799725,8.52280528094239
2018,"Big River",6.82240726293249,19.7913243909235
2018,"Kwethluk",6.52350057305684,18.1892983040103
2018,"Upper Kusko Main",6.36593997658637,14.1012775193895
2018,"Swift",6.31409633573083,3.80496634157495
2018,"Tuluksak",5.25372750536142,6.72425880226654
2018,"Takotna and Nixon Fork",5.20442235595201,4.81708115857721
2018,"George",2.8834701621752,1.77495309118282
2018,"Tatlawiksuk",2.64417698640161,21.1263563619342
2018,"S. Fork Kusko",1.38264007053754,15.0987216726485
2018,"Oskakawlik",1.36562720160984,6.59973725080721
2018,"Holokuk",1.31178215955585,5.83229191233678
2018,"N. Fork Kusko",0.468661880913541,27.5548728556358
2018,"E. Fork Kuskokwim",0.291575621276494,25.9261028428906
2018,"Lower Kusko",0.2467169533938,4.5985078016859
2018,"Johnson",0,0
2019,"Stony",11.6077796652342,23.2155401637975
2019,"Holitna and Hoholitna",10.8641658933636,13.1273213553785
2019,"Hoholitna",10.5791626895504,19.8338711925443
2019,"Aniak",7.55936059281167,12.0711068515649
2019,"Middle Kusko Main",7.14298078073935,19.7573761835327
2019,"Upper Kusko Main",7.02866022942222,29.5755164461271
2019,"Big River",6.76184824006897,44.3793866842622
2019,"Kwethluk",6.60345390052782,38.788248660965
2019,"Kisaralik",5.75596372652852,18.6539009184621
2019,"Takotna and Nixon Fork",5.6873431430463,18.8006708197512
2019,"Tuluksak",5.46764032943734,14.0455143437954
2019,"Swift",4.06030050028884,16.3899756821458
2019,"George",3.46299234549817,9.59627687636765
2019,"Tatlawiksuk",2.62971150483051,42.5236880229379
2019,"S. Fork Kusko",1.42663082400681,33.4975174063252
2019,"Oskakawlik",1.42280018406222,13.8513390197563
2019,"Holokuk",1.21128150871862,14.0726899766483
2019,"N. Fork Kusko",0.302647822557559,47.4564845918127
2019,"Lower Kusko",0.233820364182018,17.743354506334
2019,"E. Fork Kuskokwim",0.191455755124946,46.5950141089544
2019,"Johnson",0,0
2020,"Stony",11.7387107690301,10.1334780302764
2020,"Hoholitna",10.0000463387399,5.56606973881375
2020,"Holitna and Hoholitna",9.65433412011827,6.19624258690169
2020,"Big River",8.37788122502289,18.7976114136411
2020,"Kwethluk",8.04168139109377,19.079400737796
2020,"Upper Kusko Main",7.63457673839511,15.8409363975088
2020,"Middle Kusko Main",7.02235632289114,12.784700305858
2020,"Aniak",6.48367156627961,16.8140736713983
2020,"Takotna and Nixon Fork",5.64620967872384,6.57628572468061
2020,"Kisaralik",5.05862896525859,11.2913038233655
2020,"Tuluksak",5.00713884003753,12.1319957232178
2020,"Swift",3.93593655997709,10.5391205503879
2020,"Tatlawiksuk",3.29244245381971,22.862538798484
2020,"George",3.18119946440353,3.89217367069288
2020,"S. Fork Kusko",1.6783192591414,17.7161765463809
2020,"Oskakawlik",1.28632618615197,11.6427075610417
2020,"Holokuk",1.10981344432389,14.7432474278516
2020,"N. Fork Kusko",0.388825264988624,29.4179580218753
2020,"Lower Kusko",0.236795118121341,11.0895011396416
2020,"E. Fork Kuskokwim",0.225106293481792,45.3030915327273
2020,"Johnson",0,0
2021,"Stony",11.5758177146081,13.4156864026246
2021,"Holitna and Hoholitna",10.448529970821,5.12606916420811
2021,"Hoholitna",10.1110762827352,9.4639837887997
2021,"Aniak",7.53858248574979,4.79272548090887
2021,"Big River",7.30906381255063,32.8797463797274
2021,"Kwethluk",7.15694323347647,29.7942454452065
2021,"Upper Kusko Main",7.12067079674063,22.608012192123
2021,"Middle Kusko Main",6.70024566909559,9.46994422981876
2021,"Kisaralik",6.33177995072212,5.30081579566389
2021,"Takotna and Nixon Fork",5.30048767542814,12.5025045209025
2021,"Tuluksak",5.01260558167833,3.82605115550557
2021,"Swift",4.55267028436708,5.04787958358326
2021,"George",3.25816405818067,7.13339327940763
2021,"Tatlawiksuk",2.88123178861718,32.2967496475274
2021,"S. Fork Kusko",1.48679713657635,26.0049413751903
2021,"Oskakawlik",1.29997261974508,4.05962219373425
2021,"Holokuk",0.961998908131909,4.65211883366174
2021,"N. Fork Kusko",0.446582692664526,54.5175465610437
2021,"E. Fork Kuskokwim",0.294724128015606,52.2781343097324
2021,"Lower Kusko",0.212055210095558,8.09612517873831
2021,"Johnson",0,0
