"Year","HUC.Name","Total.HUC.Contribution..","Closure.Window.Contribution..","HUC.Protection","Unprotected_Harvest_Rate","Unprotected_Harvest_Pct","Total_Harvest_Rate","Total_Harvest_Pct"
2017,"Stony River",37.0479470451202,0.969466639332313,2.61678909806153,0.1,"10%",0.0973832109019385,"9.7%"
2017,"Holitna River",22.9790532126288,0.572159613533514,2.48991813648382,0.1,"10%",0.0975100818635162,"9.8%"
2017,"Kuskokwim Delta",20.3378454222647,0.60900451053391,2.99443966599926,0.1,"10%",0.0970055603340007,"9.7%"
2017,"Aniak",17.7658413470999,1.40059712164077,7.88365208422513,0.1,"10%",0.0921163479157749,"9.2%"
2017,"Takotna River",1.63290917524068,0.183218537491877,11.2203752829591,0.1,"10%",0.0887796247170409,"8.9%"
2017,"North Fork Kuskokwim River",0.23361645297643,0,0,0.1,"10%",0.1,"10%"
2017,"South Fork Kuskokwim River",0.00278734466923535,0,0,0.1,"10%",0.1,"10%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2018,"Stony River",34.9688579629263,6.4349443671257,18.4019288646715,0.1,"10%",0.0815980711353285,"8.2%"
2018,"Kuskokwim Delta",26.3593049612691,1.38749874481999,5.26379108576158,0.1,"10%",0.0947362089142384,"9.5%"
2018,"Holitna River",20.6119317539902,0.479874464343521,2.32813920631493,0.1,"10%",0.0976718607936851,"9.8%"
2018,"Aniak",15.6675500693668,1.29401986776209,8.25923556671544,0.1,"10%",0.0917407644332846,"9.2%"
2018,"Takotna River",1.60230618752088,0,0,0.1,"10%",0.1,"10%"
2018,"North Fork Kuskokwim River",0.790049064926711,0.164817685387068,20.8617024820297,0.1,"10%",0.0791382975179703,"7.9%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2018,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2019,"Stony River",36.3446260869406,15.0077365581016,41.2928627252934,0.1,"10%",0.0587071372747066,"5.9%"
2019,"Holitna River",29.7361922568662,3.66663826513899,12.3305574347447,0.1,"10%",0.0876694425652553,"8.8%"
2019,"Kuskokwim Delta",16.535225643096,3.97054827684361,24.012664613993,0.1,"10%",0.075987335386007,"7.6%"
2019,"Aniak",16.1785582294514,1.37564932678028,8.50291668311984,0.1,"10%",0.0914970833168802,"9.1%"
2019,"Takotna River",0.855671781337356,0,0,0.1,"10%",0.1,"10%"
2019,"North Fork Kuskokwim River",0.349726002308441,0.225651219528601,64.5222883168945,0.1,"10%",0.0354777116831055,"3.5%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2019,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2020,"Stony River",43.0014846693282,8.28923489170433,19.2766248780634,0.1,"10%",0.0807233751219366,"8.1%"
2020,"Holitna River",25.1795387365497,1.0231832257931,4.06355031558971,0.1,"10%",0.0959364496844103,"9.6%"
2020,"Kuskokwim Delta",18.8383160242966,1.14607156824158,6.08372620335833,0.1,"10%",0.0939162737966417,"9.4%"
2020,"Aniak",10.8924761019058,2.68470475276976,24.6473320450989,0.1,"10%",0.0753526679549011,"7.5%"
2020,"Takotna River",1.77574119124877,0,0,0.1,"10%",0.1,"10%"
2020,"North Fork Kuskokwim River",0.312443276670996,0.07122982499529,22.7976821118463,0.1,"10%",0.0772023178881537,"7.7%"
2020,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2020,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2021,"Stony River",37.8895490353303,11.4823905796952,30.3049016735152,0.1,"10%",0.0696950983264848,"7%"
2021,"Holitna River",26.105994088331,1.12901887457768,4.32474959872273,0.1,"10%",0.0956752504012773,"9.6%"
2021,"Kuskokwim Delta",20.7317706298025,1.1981791769745,5.77943485083753,0.1,"10%",0.0942205651491625,"9.4%"
2021,"Aniak",13.5861516221844,0.564511175979822,4.15504840280194,0.1,"10%",0.0958449515971981,"9.6%"
2021,"Takotna River",1.2140179781512,0.35380923255506,29.1436567598337,0.1,"10%",0.0708563432401663,"7.1%"
2021,"North Fork Kuskokwim River",0.472516646200613,0.385571162215616,81.5994876193032,0.1,"10%",0.0184005123806968,"1.8%"
2021,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2021,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0.1,"10%"
2017,"Stony River",37.0479470451202,0.969466639332313,2.61678909806153,0.2,"20%",0.194766421803877,"19.5%"
2017,"Holitna River",22.9790532126288,0.572159613533514,2.48991813648382,0.2,"20%",0.195020163727032,"19.5%"
2017,"Kuskokwim Delta",20.3378454222647,0.60900451053391,2.99443966599926,0.2,"20%",0.194011120668001,"19.4%"
2017,"Aniak",17.7658413470999,1.40059712164077,7.88365208422513,0.2,"20%",0.18423269583155,"18.4%"
2017,"Takotna River",1.63290917524068,0.183218537491877,11.2203752829591,0.2,"20%",0.177559249434082,"17.8%"
2017,"North Fork Kuskokwim River",0.23361645297643,0,0,0.2,"20%",0.2,"20%"
2017,"South Fork Kuskokwim River",0.00278734466923535,0,0,0.2,"20%",0.2,"20%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2018,"Stony River",34.9688579629263,6.4349443671257,18.4019288646715,0.2,"20%",0.163196142270657,"16.3%"
2018,"Kuskokwim Delta",26.3593049612691,1.38749874481999,5.26379108576158,0.2,"20%",0.189472417828477,"18.9%"
2018,"Holitna River",20.6119317539902,0.479874464343521,2.32813920631493,0.2,"20%",0.19534372158737,"19.5%"
2018,"Aniak",15.6675500693668,1.29401986776209,8.25923556671544,0.2,"20%",0.183481528866569,"18.3%"
2018,"Takotna River",1.60230618752088,0,0,0.2,"20%",0.2,"20%"
2018,"North Fork Kuskokwim River",0.790049064926711,0.164817685387068,20.8617024820297,0.2,"20%",0.158276595035941,"15.8%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2018,"South Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2019,"Stony River",36.3446260869406,15.0077365581016,41.2928627252934,0.2,"20%",0.117414274549413,"11.7%"
2019,"Holitna River",29.7361922568662,3.66663826513899,12.3305574347447,0.2,"20%",0.175338885130511,"17.5%"
2019,"Kuskokwim Delta",16.535225643096,3.97054827684361,24.012664613993,0.2,"20%",0.151974670772014,"15.2%"
2019,"Aniak",16.1785582294514,1.37564932678028,8.50291668311984,0.2,"20%",0.18299416663376,"18.3%"
2019,"Takotna River",0.855671781337356,0,0,0.2,"20%",0.2,"20%"
2019,"North Fork Kuskokwim River",0.349726002308441,0.225651219528601,64.5222883168945,0.2,"20%",0.070955423366211,"7.1%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2019,"South Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2020,"Stony River",43.0014846693282,8.28923489170433,19.2766248780634,0.2,"20%",0.161446750243873,"16.1%"
2020,"Holitna River",25.1795387365497,1.0231832257931,4.06355031558971,0.2,"20%",0.191872899368821,"19.2%"
2020,"Kuskokwim Delta",18.8383160242966,1.14607156824158,6.08372620335833,0.2,"20%",0.187832547593283,"18.8%"
2020,"Aniak",10.8924761019058,2.68470475276976,24.6473320450989,0.2,"20%",0.150705335909802,"15.1%"
2020,"Takotna River",1.77574119124877,0,0,0.2,"20%",0.2,"20%"
2020,"North Fork Kuskokwim River",0.312443276670996,0.07122982499529,22.7976821118463,0.2,"20%",0.154404635776307,"15.4%"
2020,"Middle Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2020,"South Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2021,"Stony River",37.8895490353303,11.4823905796952,30.3049016735152,0.2,"20%",0.13939019665297,"13.9%"
2021,"Holitna River",26.105994088331,1.12901887457768,4.32474959872273,0.2,"20%",0.191350500802555,"19.1%"
2021,"Kuskokwim Delta",20.7317706298025,1.1981791769745,5.77943485083753,0.2,"20%",0.188441130298325,"18.8%"
2021,"Aniak",13.5861516221844,0.564511175979822,4.15504840280194,0.2,"20%",0.191689903194396,"19.2%"
2021,"Takotna River",1.2140179781512,0.35380923255506,29.1436567598337,0.2,"20%",0.141712686480333,"14.2%"
2021,"North Fork Kuskokwim River",0.472516646200613,0.385571162215616,81.5994876193032,0.2,"20%",0.0368010247613936,"3.7%"
2021,"Middle Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2021,"South Fork Kuskokwim River",0,0,0,0.2,"20%",0.2,"20%"
2017,"Stony River",37.0479470451202,0.969466639332313,2.61678909806153,0.3,"30%",0.292149632705815,"29.2%"
2017,"Holitna River",22.9790532126288,0.572159613533514,2.48991813648382,0.3,"30%",0.292530245590549,"29.3%"
2017,"Kuskokwim Delta",20.3378454222647,0.60900451053391,2.99443966599926,0.3,"30%",0.291016681002002,"29.1%"
2017,"Aniak",17.7658413470999,1.40059712164077,7.88365208422513,0.3,"30%",0.276349043747325,"27.6%"
2017,"Takotna River",1.63290917524068,0.183218537491877,11.2203752829591,0.3,"30%",0.266338874151123,"26.6%"
2017,"North Fork Kuskokwim River",0.23361645297643,0,0,0.3,"30%",0.3,"30%"
2017,"South Fork Kuskokwim River",0.00278734466923535,0,0,0.3,"30%",0.3,"30%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2018,"Stony River",34.9688579629263,6.4349443671257,18.4019288646715,0.3,"30%",0.244794213405985,"24.5%"
2018,"Kuskokwim Delta",26.3593049612691,1.38749874481999,5.26379108576158,0.3,"30%",0.284208626742715,"28.4%"
2018,"Holitna River",20.6119317539902,0.479874464343521,2.32813920631493,0.3,"30%",0.293015582381055,"29.3%"
2018,"Aniak",15.6675500693668,1.29401986776209,8.25923556671544,0.3,"30%",0.275222293299854,"27.5%"
2018,"Takotna River",1.60230618752088,0,0,0.3,"30%",0.3,"30%"
2018,"North Fork Kuskokwim River",0.790049064926711,0.164817685387068,20.8617024820297,0.3,"30%",0.237414892553911,"23.7%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2018,"South Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2019,"Stony River",36.3446260869406,15.0077365581016,41.2928627252934,0.3,"30%",0.17612141182412,"17.6%"
2019,"Holitna River",29.7361922568662,3.66663826513899,12.3305574347447,0.3,"30%",0.263008327695766,"26.3%"
2019,"Kuskokwim Delta",16.535225643096,3.97054827684361,24.012664613993,0.3,"30%",0.227962006158021,"22.8%"
2019,"Aniak",16.1785582294514,1.37564932678028,8.50291668311984,0.3,"30%",0.27449124995064,"27.4%"
2019,"Takotna River",0.855671781337356,0,0,0.3,"30%",0.3,"30%"
2019,"North Fork Kuskokwim River",0.349726002308441,0.225651219528601,64.5222883168945,0.3,"30%",0.106433135049316,"10.6%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2019,"South Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2020,"Stony River",43.0014846693282,8.28923489170433,19.2766248780634,0.3,"30%",0.24217012536581,"24.2%"
2020,"Holitna River",25.1795387365497,1.0231832257931,4.06355031558971,0.3,"30%",0.287809349053231,"28.8%"
2020,"Kuskokwim Delta",18.8383160242966,1.14607156824158,6.08372620335833,0.3,"30%",0.281748821389925,"28.2%"
2020,"Aniak",10.8924761019058,2.68470475276976,24.6473320450989,0.3,"30%",0.226058003864703,"22.6%"
2020,"Takotna River",1.77574119124877,0,0,0.3,"30%",0.3,"30%"
2020,"North Fork Kuskokwim River",0.312443276670996,0.07122982499529,22.7976821118463,0.3,"30%",0.231606953664461,"23.2%"
2020,"Middle Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2020,"South Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2021,"Stony River",37.8895490353303,11.4823905796952,30.3049016735152,0.3,"30%",0.209085294979454,"20.9%"
2021,"Holitna River",26.105994088331,1.12901887457768,4.32474959872273,0.3,"30%",0.287025751203832,"28.7%"
2021,"Kuskokwim Delta",20.7317706298025,1.1981791769745,5.77943485083753,0.3,"30%",0.282661695447487,"28.3%"
2021,"Aniak",13.5861516221844,0.564511175979822,4.15504840280194,0.3,"30%",0.287534854791594,"28.8%"
2021,"Takotna River",1.2140179781512,0.35380923255506,29.1436567598337,0.3,"30%",0.212569029720499,"21.3%"
2021,"North Fork Kuskokwim River",0.472516646200613,0.385571162215616,81.5994876193032,0.3,"30%",0.0552015371420904,"5.5%"
2021,"Middle Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2021,"South Fork Kuskokwim River",0,0,0,0.3,"30%",0.3,"30%"
2017,"Stony River",37.0479470451202,0.969466639332313,2.61678909806153,0.4,"40%",0.389532843607754,"39%"
2017,"Holitna River",22.9790532126288,0.572159613533514,2.48991813648382,0.4,"40%",0.390040327454065,"39%"
2017,"Kuskokwim Delta",20.3378454222647,0.60900451053391,2.99443966599926,0.4,"40%",0.388022241336003,"38.8%"
2017,"Aniak",17.7658413470999,1.40059712164077,7.88365208422513,0.4,"40%",0.3684653916631,"36.8%"
2017,"Takotna River",1.63290917524068,0.183218537491877,11.2203752829591,0.4,"40%",0.355118498868164,"35.5%"
2017,"North Fork Kuskokwim River",0.23361645297643,0,0,0.4,"40%",0.4,"40%"
2017,"South Fork Kuskokwim River",0.00278734466923535,0,0,0.4,"40%",0.4,"40%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2018,"Stony River",34.9688579629263,6.4349443671257,18.4019288646715,0.4,"40%",0.326392284541314,"32.6%"
2018,"Kuskokwim Delta",26.3593049612691,1.38749874481999,5.26379108576158,0.4,"40%",0.378944835656954,"37.9%"
2018,"Holitna River",20.6119317539902,0.479874464343521,2.32813920631493,0.4,"40%",0.39068744317474,"39.1%"
2018,"Aniak",15.6675500693668,1.29401986776209,8.25923556671544,0.4,"40%",0.366963057733138,"36.7%"
2018,"Takotna River",1.60230618752088,0,0,0.4,"40%",0.4,"40%"
2018,"North Fork Kuskokwim River",0.790049064926711,0.164817685387068,20.8617024820297,0.4,"40%",0.316553190071881,"31.7%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2018,"South Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2019,"Stony River",36.3446260869406,15.0077365581016,41.2928627252934,0.4,"40%",0.234828549098826,"23.5%"
2019,"Holitna River",29.7361922568662,3.66663826513899,12.3305574347447,0.4,"40%",0.350677770261021,"35.1%"
2019,"Kuskokwim Delta",16.535225643096,3.97054827684361,24.012664613993,0.4,"40%",0.303949341544028,"30.4%"
2019,"Aniak",16.1785582294514,1.37564932678028,8.50291668311984,0.4,"40%",0.365988333267521,"36.6%"
2019,"Takotna River",0.855671781337356,0,0,0.4,"40%",0.4,"40%"
2019,"North Fork Kuskokwim River",0.349726002308441,0.225651219528601,64.5222883168945,0.4,"40%",0.141910846732422,"14.2%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2019,"South Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2020,"Stony River",43.0014846693282,8.28923489170433,19.2766248780634,0.4,"40%",0.322893500487746,"32.3%"
2020,"Holitna River",25.1795387365497,1.0231832257931,4.06355031558971,0.4,"40%",0.383745798737641,"38.4%"
2020,"Kuskokwim Delta",18.8383160242966,1.14607156824158,6.08372620335833,0.4,"40%",0.375665095186567,"37.6%"
2020,"Aniak",10.8924761019058,2.68470475276976,24.6473320450989,0.4,"40%",0.301410671819604,"30.1%"
2020,"Takotna River",1.77574119124877,0,0,0.4,"40%",0.4,"40%"
2020,"North Fork Kuskokwim River",0.312443276670996,0.07122982499529,22.7976821118463,0.4,"40%",0.308809271552615,"30.9%"
2020,"Middle Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2020,"South Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2021,"Stony River",37.8895490353303,11.4823905796952,30.3049016735152,0.4,"40%",0.278780393305939,"27.9%"
2021,"Holitna River",26.105994088331,1.12901887457768,4.32474959872273,0.4,"40%",0.382701001605109,"38.3%"
2021,"Kuskokwim Delta",20.7317706298025,1.1981791769745,5.77943485083753,0.4,"40%",0.37688226059665,"37.7%"
2021,"Aniak",13.5861516221844,0.564511175979822,4.15504840280194,0.4,"40%",0.383379806388792,"38.3%"
2021,"Takotna River",1.2140179781512,0.35380923255506,29.1436567598337,0.4,"40%",0.283425372960665,"28.3%"
2021,"North Fork Kuskokwim River",0.472516646200613,0.385571162215616,81.5994876193032,0.4,"40%",0.0736020495227872,"7.4%"
2021,"Middle Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2021,"South Fork Kuskokwim River",0,0,0,0.4,"40%",0.4,"40%"
2017,"Stony River",37.0479470451202,0.969466639332313,2.61678909806153,0.5,"50%",0.486916054509692,"48.7%"
2017,"Holitna River",22.9790532126288,0.572159613533514,2.48991813648382,0.5,"50%",0.487550409317581,"48.8%"
2017,"Kuskokwim Delta",20.3378454222647,0.60900451053391,2.99443966599926,0.5,"50%",0.485027801670004,"48.5%"
2017,"Aniak",17.7658413470999,1.40059712164077,7.88365208422513,0.5,"50%",0.460581739578874,"46.1%"
2017,"Takotna River",1.63290917524068,0.183218537491877,11.2203752829591,0.5,"50%",0.443898123585205,"44.4%"
2017,"North Fork Kuskokwim River",0.23361645297643,0,0,0.5,"50%",0.5,"50%"
2017,"South Fork Kuskokwim River",0.00278734466923535,0,0,0.5,"50%",0.5,"50%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2018,"Stony River",34.9688579629263,6.4349443671257,18.4019288646715,0.5,"50%",0.407990355676642,"40.8%"
2018,"Kuskokwim Delta",26.3593049612691,1.38749874481999,5.26379108576158,0.5,"50%",0.473681044571192,"47.4%"
2018,"Holitna River",20.6119317539902,0.479874464343521,2.32813920631493,0.5,"50%",0.488359303968425,"48.8%"
2018,"Aniak",15.6675500693668,1.29401986776209,8.25923556671544,0.5,"50%",0.458703822166423,"45.9%"
2018,"Takotna River",1.60230618752088,0,0,0.5,"50%",0.5,"50%"
2018,"North Fork Kuskokwim River",0.790049064926711,0.164817685387068,20.8617024820297,0.5,"50%",0.395691487589852,"39.6%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2018,"South Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2019,"Stony River",36.3446260869406,15.0077365581016,41.2928627252934,0.5,"50%",0.293535686373533,"29.4%"
2019,"Holitna River",29.7361922568662,3.66663826513899,12.3305574347447,0.5,"50%",0.438347212826277,"43.8%"
2019,"Kuskokwim Delta",16.535225643096,3.97054827684361,24.012664613993,0.5,"50%",0.379936676930035,"38%"
2019,"Aniak",16.1785582294514,1.37564932678028,8.50291668311984,0.5,"50%",0.457485416584401,"45.7%"
2019,"Takotna River",0.855671781337356,0,0,0.5,"50%",0.5,"50%"
2019,"North Fork Kuskokwim River",0.349726002308441,0.225651219528601,64.5222883168945,0.5,"50%",0.177388558415527,"17.7%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2019,"South Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2020,"Stony River",43.0014846693282,8.28923489170433,19.2766248780634,0.5,"50%",0.403616875609683,"40.4%"
2020,"Holitna River",25.1795387365497,1.0231832257931,4.06355031558971,0.5,"50%",0.479682248422051,"48%"
2020,"Kuskokwim Delta",18.8383160242966,1.14607156824158,6.08372620335833,0.5,"50%",0.469581368983208,"47%"
2020,"Aniak",10.8924761019058,2.68470475276976,24.6473320450989,0.5,"50%",0.376763339774505,"37.7%"
2020,"Takotna River",1.77574119124877,0,0,0.5,"50%",0.5,"50%"
2020,"North Fork Kuskokwim River",0.312443276670996,0.07122982499529,22.7976821118463,0.5,"50%",0.386011589440769,"38.6%"
2020,"Middle Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2020,"South Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2021,"Stony River",37.8895490353303,11.4823905796952,30.3049016735152,0.5,"50%",0.348475491632424,"34.8%"
2021,"Holitna River",26.105994088331,1.12901887457768,4.32474959872273,0.5,"50%",0.478376252006386,"47.8%"
2021,"Kuskokwim Delta",20.7317706298025,1.1981791769745,5.77943485083753,0.5,"50%",0.471102825745812,"47.1%"
2021,"Aniak",13.5861516221844,0.564511175979822,4.15504840280194,0.5,"50%",0.47922475798599,"47.9%"
2021,"Takotna River",1.2140179781512,0.35380923255506,29.1436567598337,0.5,"50%",0.354281716200831,"35.4%"
2021,"North Fork Kuskokwim River",0.472516646200613,0.385571162215616,81.5994876193032,0.5,"50%",0.092002561903484,"9.2%"
2021,"Middle Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
2021,"South Fork Kuskokwim River",0,0,0,0.5,"50%",0.5,"50%"
